fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Jairzinho Rozenstruik,Shamil Gaziev,0,0,140 of 230,27 of 75,127 of 215,22 of 68,78 of 158,16 of 59,30 of 37,5 of 8,19 of 20,1 of 1,123 of 209,17 of 60,4 of 6,4 of 6,0 of 0,1 of 2,0 of 1,1 of 7,0,0,0,0,0:01,4:32,W,KO/TKO,4,5:00,Marc Goddard,http://ufcstats.com/fight-details/838fd9d2b14e0790
Vitor Petrino,Tyson Pedro,0,0,33 of 82,33 of 64,27 of 75,30 of 60,16 of 59,3 of 29,4 of 8,11 of 15,7 of 8,16 of 16,25 of 72,29 of 59,0 of 0,1 of 1,2 of 3,0 of 0,3 of 5,0 of 2,0,0,0,0,5:24,0:10,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/df3cc5ec78d05a71
Alex Perez,Muhammad Mokaev,0,0,47 of 114,56 of 119,30 of 87,47 of 104,22 of 73,34 of 85,3 of 5,9 of 12,5 of 9,4 of 7,19 of 74,31 of 81,2 of 3,3 of 3,9 of 10,13 of 20,0 of 0,3 of 20,0,0,0,0,3:44,4:29,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/5a82757b553c40fc
Umar Nurmagomedov,Bekzat Almakhan,0,1,145 of 197,5 of 25,68 of 98,3 of 16,64 of 94,1 of 13,0 of 0,2 of 3,4 of 4,0 of 0,7 of 13,3 of 16,0 of 0,0 of 0,61 of 85,0 of 0,5 of 5,0 of 0,0,0,0,0,11:26,0:34,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/dcf5014e56649c2f
Matt Schnell,Steve Erceg,0,1,25 of 84,34 of 72,22 of 78,34 of 72,18 of 70,24 of 60,1 of 5,9 of 11,3 of 3,1 of 1,21 of 74,30 of 67,1 of 4,4 of 5,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:05,L,KO/TKO,2,0:26,Chris Tognoni,http://ufcstats.com/fight-details/024beecfd3f0ed7a
Eryk Anders,Jamie Pickett,0,1,83 of 147,26 of 64,23 of 59,20 of 55,14 of 48,11 of 45,7 of 9,8 of 9,2 of 2,1 of 1,12 of 38,12 of 46,7 of 9,8 of 8,4 of 12,0 of 1,5 of 13,0 of 0,0,0,0,0,10:08,0:16,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/32bd7ed48f5aea7e
Vinicius Oliveira,Benardo Sopaj,1,0,88 of 170,92 of 146,67 of 144,45 of 86,39 of 91,42 of 81,11 of 20,1 of 3,17 of 33,2 of 2,49 of 112,21 of 55,3 of 13,0 of 2,15 of 19,24 of 29,2 of 4,3 of 4,0,0,0,0,1:36,4:28,W,KO/TKO,3,4:41,Keith Peterson,http://ufcstats.com/fight-details/cde2f88251b73305
Aiemann Zahabi,Javid Basharat,0,0,77 of 176,67 of 205,75 of 174,67 of 205,51 of 130,33 of 147,16 of 26,27 of 44,8 of 18,7 of 14,74 of 172,67 of 203,1 of 2,0 of 2,0 of 0,0 of 0,0 of 0,0 of 4,0,0,0,0,0:13,0:00,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/a7d397cd0f2ac93a
Christian Leroy Duncan,Claudio Ribeiro,0,0,75 of 105,13 of 39,65 of 92,4 of 26,39 of 62,1 of 19,8 of 10,1 of 3,18 of 20,2 of 4,31 of 50,4 of 24,12 of 15,0 of 2,22 of 27,0 of 0,1 of 2,0 of 0,0,0,0,0,2:15,1:03,W,KO/TKO,2,1:57,Mark Smith,http://ufcstats.com/fight-details/3ea7d69a1238f26a
Ludovit Klein,AJ Cunningham,1,0,63 of 95,36 of 77,60 of 91,36 of 75,38 of 66,15 of 49,21 of 23,10 of 14,1 of 2,11 of 12,54 of 84,34 of 72,2 of 2,2 of 3,4 of 5,0 of 0,2 of 3,0 of 0,0,0,0,0,0:27,0:26,W,KO/TKO,1,4:36,Keith Peterson,http://ufcstats.com/fight-details/4e566db7d26df001
